date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-03-22,Berks,421164,32938,7820.7,38048,9034,2021-03-19
2021-03-22,Blair,121829,9103,7471.9,14826,12169.5,2021-03-19
2021-03-22,Bradford,60323,2720,4509.1,7080,11736.8,2021-03-19
2021-03-22,Bucks,628270,67173,10691.7,57762,9193.8,2021-03-19
2021-03-22,Butler,187853,23588,12556.6,29348,15622.9,2021-03-19
2021-03-22,Cambria,130192,13283,10202.6,18700,14363.4,2021-03-19
2021-03-22,Cameron,4447,630,14166.9,870,19563.8,2021-03-19
2021-03-22,Carbon,64182,4873,7592.5,8539,13304.4,2021-03-19
2021-03-22,Centre,162385,13614,8383.8,21965,13526.5,2021-03-19
2021-03-22,Chester,524989,55272,10528.2,57469,10946.7,2021-03-19
2021-03-22,Clarion,38438,3082,8018.1,6110,15895.7,2021-03-19
2021-03-22,Clearfield,79255,4817,6077.8,11990,15128.4,2021-03-19
2021-03-22,Clinton,38632,1848,4783.6,4693,12148,2021-03-19
2021-03-22,Columbia,64964,4702,7237.9,11621,17888.4,2021-03-19
2021-03-22,Crawford,84629,6250,7385.2,13740,16235.6,2021-03-19
2021-03-22,Cumberland,253370,22402,8841.6,23050,9097.4,2021-03-19
2021-03-22,Dauphin,278299,22347,8029.9,21297,7652.6,2021-03-19
2021-03-22,Delaware,566747,52344,9235.9,56676,10000.2,2021-03-19
2021-03-22,Elk,29910,2779,9291.2,6978,23330,2021-03-19
2021-03-22,Erie,269728,24698,9156.6,35309,13090.6,2021-03-19
2021-03-22,Fayette,129274,9909,7665.1,18374,14213.2,2021-03-19
2021-03-22,Forest,7247,517,7134,1066,14709.5,2021-03-19
2021-03-22,Franklin,155027,9492,6122.8,15549,10029.9,2021-03-19
2021-03-22,Fulton,14530,494,3399.9,923,6352.4,2021-03-19
2021-03-22,Greene,36233,1920,5299,3986,11001,2021-03-19
2021-03-22,Huntingdon,45144,3942,8732.1,5586,12373.7,2021-03-19
2021-03-22,Indiana,84073,6476,7702.8,8760,10419.5,2021-03-19
2021-03-22,Jefferson,43425,3963,9126.1,8020,18468.6,2021-03-19
2021-03-22,Juniata,24763,1391,5617.3,2945,11892.7,2021-03-19
2021-03-22,Lackawanna,209674,22365,10666.6,38581,18400.5,2021-03-19
2021-03-22,Lancaster,545724,47536,8710.6,53906,9877.9,2021-03-19
